"REF_DATE","GEO","DGUID","Age group","Type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","Alberta","2021A000248","15 to 19 years","University","Percent","239","units","0","v99915555","10.1.4","44","B","","","0"
"1995/1996","Alberta","2021A000248","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915556","10.2.1","50","B","","","0"
"1995/1996","Alberta","2021A000248","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915557","10.2.2","","x","","","0"
"1995/1996","Alberta","2021A000248","20 to 24 years","College","Percent","239","units","0","v99915558","10.2.3","53","B","","","0"
"1995/1996","Alberta","2021A000248","20 to 24 years","University","Percent","239","units","0","v99915559","10.2.4","46","B","","","0"
"1995/1996","Alberta","2021A000248","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915560","10.3.1","49","B","","","0"
"1995/1996","Alberta","2021A000248","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915561","10.3.2","","x","","","0"
"1995/1996","Alberta","2021A000248","25 to 29 years","College","Percent","239","units","0","v99915562","10.3.3","46","B","","","0"
"1995/1996","Alberta","2021A000248","25 to 29 years","University","Percent","239","units","0","v99915563","10.3.4","54","C","","","0"
"1995/1996","British Columbia","2021A000259","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915564","11.1.1","35","A","","","0"
"1995/1996","British Columbia","2021A000259","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915565","11.1.2","32","A","","","0"
"1995/1996","British Columbia","2021A000259","15 to 19 years","College","Percent","239","units","0","v99915566","11.1.3","51","B","","","0"
"1995/1996","British Columbia","2021A000259","15 to 19 years","University","Percent","239","units","0","v99915567","11.1.4","42","B","","","0"
"1995/1996","British Columbia","2021A000259","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915568","11.2.1","48","B","","","0"
"1995/1996","British Columbia","2021A000259","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915569","11.2.2","","x","","","0"
"1995/1996","British Columbia","2021A000259","20 to 24 years","College","Percent","239","units","0","v99915570","11.2.3","47","B","","","0"
"1995/1996","British Columbia","2021A000259","20 to 24 years","University","Percent","239","units","0","v99915571","11.2.4","50","B","","","0"
"1995/1996","British Columbia","2021A000259","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915572","11.3.1","54","B","","","0"
"1995/1996","British Columbia","2021A000259","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915573","11.3.2","","x","","","0"
"1995/1996","British Columbia","2021A000259","25 to 29 years","College","Percent","239","units","0","v99915574","11.3.3","55","B","","","0"
"1995/1996","British Columbia","2021A000259","25 to 29 years","University","Percent","239","units","0","v99915575","11.3.4","50","B","","","0"
"1999/2000","Canada","2021A000011124","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915444","1.1.1","34","A","","","0"
"1999/2000","Canada","2021A000011124","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915445","1.1.2","32","A","","","0"
"1999/2000","Canada","2021A000011124","15 to 19 years","College","Percent","239","units","0","v99915446","1.1.3","45","A","","","0"
"1999/2000","Canada","2021A000011124","15 to 19 years","University","Percent","239","units","0","v99915447","1.1.4","34","B","","","0"
"1999/2000","Canada","2021A000011124","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915448","1.2.1","46","A","","","0"
"1999/2000","Canada","2021A000011124","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915449","1.2.2","36","B","","","0"
"1999/2000","Canada","2021A000011124","20 to 24 years","College","Percent","239","units","0","v99915450","1.2.3","53","A","","","0"
"1999/2000","Canada","2021A000011124","20 to 24 years","University","Percent","239","units","0","v99915451","1.2.4","44","A","","","0"
"1999/2000","Canada","2021A000011124","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915452","1.3.1","52","A","","","0"
"1999/2000","Canada","2021A000011124","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915453","1.3.2","26","C","","","0"
"1999/2000","Canada","2021A000011124","25 to 29 years","College","Percent","239","units","0","v99915454","1.3.3","52","A","","","0"
"1999/2000","Canada","2021A000011124","25 to 29 years","University","Percent","239","units","0","v99915455","1.3.4","56","A","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915456","2.1.1","15","B","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915457","2.1.2","12","B","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","15 to 19 years","College","Percent","239","units","0","v99915458","2.1.3","","x","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","15 to 19 years","University","Percent","239","units","0","v99915459","2.1.4","27","C","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915460","2.2.1","29","B","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915461","2.2.2","","x","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","20 to 24 years","College","Percent","239","units","0","v99915462","2.2.3","14","C","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","20 to 24 years","University","Percent","239","units","0","v99915463","2.2.4","34","B","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915464","2.3.1","45","B","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","25 to 29 years","College","Percent","239","units","0","v99915466","2.3.3","","x","","","0"
"1999/2000","Newfoundland and Labrador","2021A000210","25 to 29 years","University","Percent","239","units","0","v99915467","2.3.4","60","B","","","0"
"1999/2000","Prince Edward Island","2021A000211","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915468","3.1.1","37","B","","","0"
"1999/2000","Prince Edward Island","2021A000211","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915469","3.1.2","36","B","","","0"
"1999/2000","Prince Edward Island","2021A000211","15 to 19 years","College","Percent","239","units","0","v99915470","3.1.3","47","C","","","0"
"1999/2000","Prince Edward Island","2021A000211","15 to 19 years","University","Percent","239","units","0","v99915471","3.1.4","39","C","","","0"
"1999/2000","Prince Edward Island","2021A000211","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915472","3.2.1","35","B","","","0"
"1999/2000","Prince Edward Island","2021A000211","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915473","3.2.2","","x","","","0"
"1999/2000","Prince Edward Island","2021A000211","20 to 24 years","College","Percent","239","units","0","v99915474","3.2.3","","x","","","0"
"1999/2000","Prince Edward Island","2021A000211","20 to 24 years","University","Percent","239","units","0","v99915475","3.2.4","42","B","","","0"
"1999/2000","Prince Edward Island","2021A000211","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915476","3.3.1","32","C","","","0"
"1999/2000","Prince Edward Island","2021A000211","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915477","3.3.2","","x","","","0"
"1999/2000","Prince Edward Island","2021A000211","25 to 29 years","College","Percent","239","units","0","v99915478","3.3.3","","x","","","0"
"1999/2000","Prince Edward Island","2021A000211","25 to 29 years","University","Percent","239","units","0","v99915479","3.3.4","","x","","","0"
"1999/2000","Nova Scotia","2021A000212","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915480","4.1.1","31","B","","","0"
"1999/2000","Nova Scotia","2021A000212","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915481","4.1.2","30","B","","","0"
"1999/2000","Nova Scotia","2021A000212","15 to 19 years","College","Percent","239","units","0","v99915482","4.1.3","31","C","","","0"
"1999/2000","Nova Scotia","2021A000212","15 to 19 years","University","Percent","239","units","0","v99915483","4.1.4","36","B","","","0"
"1999/2000","Nova Scotia","2021A000212","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915484","4.2.1","50","B","","","0"
"1999/2000","Nova Scotia","2021A000212","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915485","4.2.2","","x","","","0"
"1999/2000","Nova Scotia","2021A000212","20 to 24 years","College","Percent","239","units","0","v99915486","4.2.3","38","C","","","0"
"1999/2000","Nova Scotia","2021A000212","20 to 24 years","University","Percent","239","units","0","v99915487","4.2.4","53","B","","","0"
"1999/2000","Nova Scotia","2021A000212","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915488","4.3.1","44","B","","","0"
"1999/2000","Nova Scotia","2021A000212","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915489","4.3.2","","x","","","0"
"1999/2000","Nova Scotia","2021A000212","25 to 29 years","College","Percent","239","units","0","v99915490","4.3.3","","x","","","0"
"1999/2000","Nova Scotia","2021A000212","25 to 29 years","University","Percent","239","units","0","v99915491","4.3.4","53","B","","","0"
"1999/2000","New Brunswick","2021A000213","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915492","5.1.1","30","B","","","0"
"1999/2000","New Brunswick","2021A000213","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915493","5.1.2","31","B","","","0"
"1999/2000","New Brunswick","2021A000213","15 to 19 years","College","Percent","239","units","0","v99915494","5.1.3","30","C","","","0"
"1999/2000","New Brunswick","2021A000213","15 to 19 years","University","Percent","239","units","0","v99915495","5.1.4","25","B","","","0"
"1999/2000","New Brunswick","2021A000213","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915496","5.2.1","29","B","","","0"
"1999/2000","New Brunswick","2021A000213","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915497","5.2.2","","x","","","0"
"1999/2000","New Brunswick","2021A000213","20 to 24 years","College","Percent","239","units","0","v99915498","5.2.3","15","D","","","0"
"1999/2000","New Brunswick","2021A000213","20 to 24 years","University","Percent","239","units","0","v99915499","5.2.4","34","B","","","0"
"1999/2000","New Brunswick","2021A000213","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915500","5.3.1","40","B","","","0"
"1999/2000","New Brunswick","2021A000213","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915501","5.3.2","","x","","","0"
"1999/2000","New Brunswick","2021A000213","25 to 29 years","College","Percent","239","units","0","v99915502","5.3.3","","x","","","0"
"1999/2000","New Brunswick","2021A000213","25 to 29 years","University","Percent","239","units","0","v99915503","5.3.4","46","C","","","0"
"1999/2000","Quebec","2021A000224","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915504","6.1.1","28","A","","","0"
"1999/2000","Quebec","2021A000224","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915505","6.1.2","20","B","","","0"
"1999/2000","Quebec","2021A000224","15 to 19 years","College","Percent","239","units","0","v99915506","6.1.3","42","A","","","0"
"1999/2000","Quebec","2021A000224","15 to 19 years","University","Percent","239","units","0","v99915507","6.1.4","38","C","","","0"
"1999/2000","Quebec","2021A000224","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915508","6.2.1","45","A","","","0"
"1999/2000","Quebec","2021A000224","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915509","6.2.2","33","B","","","0"
"1999/2000","Quebec","2021A000224","20 to 24 years","College","Percent","239","units","0","v99915510","6.2.3","53","B","","","0"
"1999/2000","Quebec","2021A000224","20 to 24 years","University","Percent","239","units","0","v99915511","6.2.4","46","B","","","0"
"1999/2000","Quebec","2021A000224","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915512","6.3.1","56","B","","","0"
"1999/2000","Quebec","2021A000224","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915513","6.3.2","","x","","","0"
"1999/2000","Quebec","2021A000224","25 to 29 years","College","Percent","239","units","0","v99915514","6.3.3","56","B","","","0"
"1999/2000","Quebec","2021A000224","25 to 29 years","University","Percent","239","units","0","v99915515","6.3.4","63","B","","","0"
"1999/2000","Ontario","2021A000235","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915516","7.1.1","38","A","","","0"
"1999/2000","Ontario","2021A000235","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915517","7.1.2","37","A","","","0"
"1999/2000","Ontario","2021A000235","15 to 19 years","College","Percent","239","units","0","v99915518","7.1.3","50","B","","","0"
"1999/2000","Ontario","2021A000235","15 to 19 years","University","Percent","239","units","0","v99915519","7.1.4","30","B","","","0"
"1999/2000","Ontario","2021A000235","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915520","7.2.1","48","A","","","0"
"1999/2000","Ontario","2021A000235","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915521","7.2.2","38","B","","","0"
"1999/2000","Ontario","2021A000235","20 to 24 years","College","Percent","239","units","0","v99915522","7.2.3","57","A","","","0"
"1999/2000","Ontario","2021A000235","20 to 24 years","University","Percent","239","units","0","v99915523","7.2.4","43","A","","","0"
"1999/2000","Ontario","2021A000235","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915524","7.3.1","54","A","","","0"
"1999/2000","Ontario","2021A000235","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915525","7.3.2","","x","","","0"
"1999/2000","Ontario","2021A000235","25 to 29 years","College","Percent","239","units","0","v99915526","7.3.3","62","B","","","0"
"1999/2000","Ontario","2021A000235","25 to 29 years","University","Percent","239","units","0","v99915527","7.3.4","50","B","","","0"
